emp_no,first_name,last_name,birth_date,title,dept_name
10095,Hilari,Morton,1965-01-03,Staff,Sales
10122,Ohad,Esposito,1965-01-19,Technique Leader,Development
10291,Dipayan,Seghrouchni,1965-01-23,Senior Staff,Sales
10410,Takahito,Gecsei,1965-01-19,Staff,Sales
10476,Kokou,Iisaka,1965-01-01,Senior Staff,Research
10480,Make,Baba,1965-01-25,Staff,Finance
10663,Teunis,Noriega,1965-01-09,Technique Leader,Production
10762,Lech,Himler,1965-01-19,Staff,Research
10933,Juyoung,Seghrouchni,1965-01-24,Senior Engineer,Production
11015,Jeanna,Riesenhuber,1965-01-24,Senior Staff,Sales
11126,Hideo,Daescu,1965-01-08,Staff,Research
11157,Mario,Cochrane,1965-02-01,Engineer,Development
11432,Yongmao,Zwicker,1965-01-15,Senior Engineer,Production
12155,Keiichiro,Glinert,1965-01-21,Senior Engineer,Production
12408,Rasiah,Sudkamp,1965-01-10,Senior Engineer,Development
12643,Morrie,Schurmann,1965-01-30,Staff,Finance
13499,Kazuhiko,Sidou,1965-01-16,Technique Leader,Production
13957,Angus,Chelton,1965-01-10,Senior Engineer,Quality Management
14075,Denny,Tchuente,1965-01-03,Assistant Engineer,Development
14104,Sudhanshu,Demian,1965-01-03,Staff,Human Resources
14127,Magdalena,Cannard,1965-01-10,Senior Engineer,Production
14158,Caolyn,Setiz,1965-01-22,Senior Staff,Sales
14476,Sastry,Marrevee,1965-01-19,Engineer,Production
14551,Richard,Sinitsyn,1965-01-18,Senior Staff,Sales
14907,Nakhoon,Luga,1965-01-14,Staff,Sales
15050,Nikolaos,Kruskal,1965-01-18,Engineer,Production
15058,Bouchung,Bugrara,1965-01-30,Staff,Finance
15376,Geoff,Soicher,1965-01-10,Staff,Research
15413,Arvin,Rabejac,1965-01-17,Senior Engineer,Development
16461,Remmert,Schahn,1965-01-14,Senior Staff,Sales
16528,Gaurav,Swick,1965-01-21,Engineer,Production
17013,Morris,Garigliano,1965-01-15,Senior Staff,Finance
17206,Berry,DeMori,1965-01-02,Senior Engineer,Production
17369,Yaghout,Kenevan,1965-01-31,Engineer,Development
17447,Zengping,Boreale,1965-01-11,Staff,Sales
17618,Teiji,Picco,1965-01-12,Staff,Research
17731,Gennady,Roison,1965-01-16,Engineer,Development
17799,Gro,Gini,1965-01-28,Engineer,Development
17970,Filipp,Carrere,1965-01-06,Technique Leader,Production
17988,Mabhin,Calkin,1965-01-31,Senior Engineer,Production
18021,Adil,Matzke,1965-01-07,Senior Engineer,Development
18187,Denis,Falster,1965-01-08,Staff,Research
18424,Filipp,Rousseau,1965-01-19,Engineer,Development
18583,Stafford,Honglei,1965-01-03,Staff,Customer Service
18617,Surveyors,Crouzet,1965-01-21,Staff,Human Resources
18810,Taiji,Jarecki,1965-01-09,Senior Engineer,Development
19236,Elzbieta,Morris,1965-01-24,Engineer,Production
19350,Satoru,Yoshizawa,1965-01-19,Staff,Customer Service
19803,Ziva,Kowalchuk,1965-01-30,Senior Engineer,Development
20100,Utz,Heuter,1965-01-18,Senior Staff,Marketing
20128,Kazunori,Peak,1965-01-23,Senior Staff,Customer Service
20129,Rafael,Skafidas,1965-01-10,Senior Engineer,Production
20248,Vidar,Demri,1965-01-12,Staff,Customer Service
20313,Candida,Benveniste,1965-01-24,Engineer,Production
20500,Christoph,Trystram,1965-01-30,Staff,Customer Service
20712,Valeri,Escriba,1965-01-26,Engineer,Production
20720,Heejo,Brodie,1965-01-17,Senior Staff,Human Resources
20885,Otmar,Rothenberg,1965-01-21,Engineer,Production
21181,Jianhui,Cangellaris,1965-01-21,Engineer,Production
21188,Piyush,Danecki,1965-01-21,Engineer,Development
21534,Alagu,Luders,1965-01-12,Staff,Finance
21546,Yongmin,Lanteri,1965-01-01,Senior Staff,Marketing
21843,Karsten,Azadmanesh,1965-01-09,Senior Engineer,Development
21909,Mohammed,Brizzi,1965-01-04,Senior Staff,Sales
22027,Sangeeta,Georg,1965-01-27,Staff,Finance
22185,Huai,Birch,1965-01-29,Engineer,Development
22415,Perla,Jumpertz,1965-01-20,Senior Staff,Sales
22451,Jasminko,Bresenham,1965-01-27,Staff,Development
22455,Barry,Unno,1965-01-06,Staff,Marketing
22502,Rutger,Binkley,1965-01-29,Senior Engineer,Production
22926,Manibrata,Genther,1965-01-01,Senior Engineer,Production
23396,Hilari,Fairtlough,1965-01-02,Technique Leader,Production
24080,Jaana,Perez,1965-01-26,Technique Leader,Development
24189,Abdelaziz,Atrawala,1965-01-16,Staff,Research
24205,Roddy,Rubsam,1965-01-25,Senior Engineer,Development
24377,Lubomir,Wroclawski,1965-01-25,Senior Engineer,Quality Management
24394,Zhonghui,Conta,1965-01-04,Staff,Sales
24421,Dannz,Grospietsch,1965-01-10,Senior Engineer,Production
24553,Anwar,Passafiume,1965-01-12,Staff,Sales
24571,Cordelia,Gischer,1965-01-20,Engineer,Production
25488,Ingmar,Basawa,1965-01-19,Staff,Research
26476,Bilhanan,Karcich,1965-01-19,Staff,Sales
26503,Shietung,Billingsley,1965-01-27,Senior Staff,Sales
26617,Berto,Bruckman,1965-01-06,Engineer,Development
26629,Nevin,Rodham,1965-01-28,Senior Staff,Research
26671,Jiakeng,Kalorkoti,1965-01-21,Senior Engineer,Development
26788,Zongyan,Dalphin,1965-01-25,Senior Engineer,Development
27150,Chenyi,Plump,1965-01-06,Staff,Sales
27331,Wanqing,Krohm,1965-01-19,Senior Staff,Customer Service
27378,Piyawadee,Leppanen,1965-01-28,Senior Staff,Finance
27620,Shuji,Kandlur,1965-01-25,Senior Engineer,Production
27686,Manu,Rosiles,1965-01-28,Senior Staff,Sales
27699,Falguni,Pezzoli,1965-01-15,Engineer,Production
27767,Tooru,Veldwijk,1965-01-27,Staff,Customer Service
27970,KayLiang,Miyakawa,1965-01-12,Technique Leader,Production
28193,Xinglin,Mitsuhashi,1965-01-29,Senior Engineer,Development
28222,Mayuko,Vitiello,1965-01-11,Technique Leader,Production
28974,Chenxi,Sundgren,1965-01-09,Senior Engineer,Development
28988,Tua,Giveon,1965-01-18,Technique Leader,Production
29130,Xumin,Thorensen,1965-01-06,Staff,Marketing
29265,Gilbert,Calkin,1965-01-14,Staff,Customer Service
29380,Satoru,Vidal,1965-01-30,Assistant Engineer,Production
29418,Valery,Mersereau,1965-01-22,Assistant Engineer,Production
29679,Kolar,Steenbeek,1965-01-17,Senior Engineer,Development
29782,Jouko,Hellwagner,1965-01-29,Senior Engineer,Production
29954,Pranay,Giarratana,1965-01-27,Senior Engineer,Production
30007,Kousuke,Vecchio,1965-01-24,Senior Engineer,Production
30035,Tetsushi,Conta,1965-01-08,Senior Staff,Research
30154,Mayuko,Skafidas,1965-01-26,Technique Leader,Development
30182,Leon,Potthoff,1965-01-26,Senior Engineer,Development
30465,Randi,Avouris,1965-01-28,Senior Engineer,Development
30484,Sailaja,Chvatal,1965-01-11,Staff,Sales
30552,Yishai,Terlouw,1965-01-18,Engineer,Development
30695,Gudjon,Majewski,1965-01-08,Senior Engineer,Development
30938,Yakkov,Samarati,1965-01-06,Staff,Sales
31147,Divine,Sidhu,1965-01-04,Senior Staff,Finance
31170,Tuval,Waleschkowski,1965-01-08,Senior Staff,Research
31188,Leandro,Gist,1965-01-12,Technique Leader,Production
31207,Abdelwaheb,Dulin,1965-01-30,Senior Engineer,Production
31341,Oksana,Zultner,1965-01-01,Staff,Finance
31514,Harngdar,Schapire,1965-01-13,Engineer,Development
31568,Mark,Lalonde,1965-01-10,Staff,Marketing
31599,Qingxiang,Gewali,1965-01-05,Engineer,Production
31629,Toong,Veldwijk,1965-01-24,Assistant Engineer,Production
31909,Murthy,Peek,1965-01-10,Engineer,Production
